Les meilleurs résultats : 
Planification initiale : 

Cours 0 à 8 h 0, salle : 59
Cours 1 à 9 h 45, salle : 12
Cours 2 à 11 h 30, salle : 14
Cours 3 à 9 h 45, salle : 58
Cours 4 à 9 h 45, salle : 28
Cours 5 à 13 h 0, salle : 0
Cours 6 à 11 h 30, salle : 25
Cours 7 à 14 h 45, salle : 42
Cours 8 à 13 h 0, salle : 33
Cours 9 à 16 h 15, salle : 55
Cours 10 à 9 h 45, salle : 11
Cours 11 à 18 h 0, salle : 14
Cours 12 à 11 h 15, salle : 37
Cours 13 à 18 h 0, salle : 72
Cours 14 à 24 h 30, salle : 18
Cours 15 à 18 h 0, salle : 47
Cours 16 à 16 h 15, salle : 7
Cours 17 à 18 h 0, salle : 51
Cours 18 à 23 h 0, salle : 46
Cours 19 à 31 h 0, salle : 71
Cours 20 à 37 h 30, salle : 2
Cours 21 à 42 h 30, salle : 72
Cours 22 à 49 h 0, salle : 37
Cours 23 à 9 h 45, salle : 1
Cours 24 à 24 h 30, salle : 15
Cours 25 à 34 h 15, salle : 39
Cours 26 à 14 h 30, salle : 8
Cours 27 à 23 h 0, salle : 1
Cours 28 à 14 h 45, salle : 32
Cours 29 à 19 h 30, salle : 31
Cours 30 à 27 h 45, salle : 5
Cours 31 à 40 h 45, salle : 69
Cours 32 à 45 h 45, salle : 20
Cours 33 à 13 h 0, salle : 72
Cours 34 à 24 h 45, salle : 52
Cours 35 à 34 h 15, salle : 25
Cours 36 à 47 h 30, salle : 72
Cours 37 à 17 h 45, salle : 54
Cours 38 à 9 h 45, salle : 44
Cours 39 à 28 h 0, salle : 8
Congestion totale (nombre de bus dans lequel de seuil de confort à été dépassé): 12 / 34
Cours 0 à 9 h 30, salle : 59
Cours 1 à 9 h 45, salle : 12
Cours 2 à 8 h 45, salle : 14
Cours 3 à 9 h 45, salle : 58
Cours 4 à 9 h 45, salle : 28
Cours 5 à 8 h 0, salle : 0
Cours 6 à 11 h 30, salle : 25
Cours 7 à 8 h 15, salle : 42
Cours 8 à 13 h 0, salle : 33
Cours 9 à 9 h 15, salle : 55
Cours 10 à 9 h 45, salle : 11
Cours 11 à 15 h 0, salle : 14
Cours 12 à 11 h 15, salle : 37
Cours 13 à 8 h 30, salle : 72
Cours 14 à 24 h 30, salle : 18
Cours 15 à 18 h 0, salle : 47
Cours 16 à 16 h 15, salle : 7
Cours 17 à 18 h 0, salle : 51
Cours 18 à 9 h 45, salle : 46
Cours 19 à 31 h 0, salle : 71
Cours 20 à 37 h 30, salle : 2
Cours 21 à 42 h 30, salle : 72
Cours 22 à 49 h 0, salle : 37
Cours 23 à 9 h 45, salle : 1
Cours 24 à 24 h 30, salle : 15
Cours 25 à 34 h 15, salle : 39
Cours 26 à 14 h 30, salle : 8
Cours 27 à 23 h 0, salle : 1
Cours 28 à 14 h 45, salle : 32
Cours 29 à 19 h 30, salle : 31
Cours 30 à 27 h 45, salle : 5
Cours 31 à 40 h 45, salle : 69
Cours 32 à 45 h 45, salle : 20
Cours 33 à 13 h 0, salle : 72
Cours 34 à 24 h 45, salle : 52
Cours 35 à 34 h 15, salle : 25
Cours 36 à 47 h 30, salle : 72
Cours 37 à 17 h 45, salle : 54
Cours 38 à 9 h 45, salle : 44
Cours 39 à 9 h 45, salle : 8
Congestion totale (nombre de bus dans lequel de seuil de confort à été dépassé): 3 / 34
